order_id,courier_name,customer_name,customer_city,payment_method,item_value,system_status,customer_report,gps_distance_meters,delivery_date
ORD-46526,Asmuni Rajata,"Julia Firgantoro, M.Ak",Bontang,COD,762995,Failed,Rejected/Unreachable,95,2026-06-30
ORD-15872,Cakrawala Fujiati,"KH. Dadap Lailasari, S.H.",Padang,COD,314662,Delivered,Received,12,2026-07-09
ORD-17363,"Zelaya Narpati, S.E.I",Clara Sitompul,Malang,COD,532417,Delivered,Received,9,2026-07-20
ORD-51429,Mustika Maryadi,Tami Purnawati,Padangpanjang,COD,549545,Delivered,Not Received,3767,2026-06-30
ORD-24008,Aisyah Pangestu,Cici Maheswara,Prabumulih,COD,1033708,Delivered,Received,28,2026-07-20
ORD-66329,"dr. Cindy Utami, S.Farm",Koko Rahayu,Gorontalo,COD,685744,Delivered,Received,43,2026-07-26
ORD-85660,Mutia Hutapea,R. Balijan Purnawati,Bandung,COD,342692,Delivered,Received,23,2026-07-17
ORD-32344,Putri Putra,"Oman Nashiruddin, S.E.",Kotamobagu,COD,446127,Delivered,Received,27,2026-07-16
ORD-60908,Muni Samosir,"Puti Ratih Pradipta, M.Farm",Tual,COD,366226,Delivered,Received,19,2026-07-11
ORD-33728,"Dr. Emin Susanti, M.Ak",Endah Samosir,Lubuklinggau,COD,665017,Delivered,Received,21,2026-07-22
ORD-69396,"Puput Widiastuti, M.Ak","Opan Suartini, S.I.Kom",Palu,COD,808335,Delivered,Received,16,2026-07-27
ORD-39191,Ir. Elisa Saragih,"Juli Manullang, M.TI.",Singkawang,COD,930033,Delivered,Received,15,2026-07-24
ORD-68121,Halim Damanik,"KH. Cakrabirawa Iswahyudi, S.H.",Subulussalam,COD,1424747,Delivered,Received,27,2026-07-18
ORD-17386,"Cornelia Halim, M.Farm","R. Shakila Rahimah, S.Ked",Denpasar,COD,358650,Delivered,Received,47,2026-07-26
ORD-54985,Prasetya Pradipta,Yono Mulyani,Tasikmalaya,COD,772985,Delivered,Received,31,2026-07-05
ORD-14231,Gandi Suwarno,Ulva Mayasari,Padang,COD,1468811,Delivered,Not Received,4429,2026-07-14
ORD-58956,Anggabaya Mandasari,"Tugiman Nasyidah, S.Psi",Kota Administrasi Jakarta Pusat,COD,1311832,Delivered,Received,25,2026-07-20
ORD-74891,Raden Sitompul,Kiandra Sitorus,Palembang,COD,433479,Delivered,Received,16,2026-07-14
ORD-16609,"Ir. Prayogo Halim, S.Gz",Ghaliyati Wijayanti,Kota Administrasi Jakarta Utara,COD,209920,Delivered,Received,14,2026-07-23
ORD-39219,Mala Mandala,Ir. Yessi Sihombing,Singkawang,COD,1265535,Delivered,Received,22,2026-07-18
ORD-63836,"R. Cawisadi Mahendra, S.Gz","Ir. Jasmin Firmansyah, S.Gz",Solok,COD,935949,Delivered,Received,25,2026-07-14
ORD-96332,Ifa Nasyidah,"Intan Wastuti, M.Farm",Pasuruan,COD,237792,Delivered,Received,9,2026-07-21
ORD-85817,Ibun Prasetyo,"Atma Halimah, S.T.",Malang,COD,632419,Failed,Rejected/Unreachable,77,2026-07-02
ORD-50555,Bagya Mangunsong,Anastasia Yuniar,Semarang,COD,1299187,Delivered,Received,46,2026-07-09
ORD-51183,Dr. Julia Hastuti,Eli Santoso,Malang,COD,1291707,Failed,Rejected/Unreachable,26,2026-07-03
ORD-48760,Raden Mayasari,Tira Setiawan,Sabang,COD,954552,Delivered,Received,46,2026-07-04
ORD-84303,"Gawati Siregar, S.Pd","Tgk. Cici Zulaika, M.M.",Manado,COD,202007,Failed,Rejected/Unreachable,25,2026-07-24
ORD-77633,Luwes Permadi,Satya Budiyanto,Singkawang,COD,722509,Delivered,Not Received,2108,2026-07-22
ORD-43709,Tgk. Zamira Gunawan,Tgk. Nasim Hassanah,Tidore Kepulauan,COD,1490601,Delivered,Received,20,2026-07-02
ORD-81946,Rini Pudjiastuti,Patricia Maheswara,Madiun,COD,766677,Delivered,Received,26,2026-07-10
ORD-33418,Vanya Usada,Keisha Jailani,Denpasar,COD,1267305,Delivered,Received,25,2026-07-02
ORD-52394,"Tgk. Johan Samosir, S.Sos",Ir. Karma Nasyidah,Padangpanjang,COD,1272382,Delivered,Received,12,2026-07-21
ORD-89472,Dina Hasanah,Cut Janet Kurniawan,Parepare,COD,956262,Failed,Rejected/Unreachable,18,2026-06-30
ORD-50865,Tiara Lestari,"Paris Hassanah, S.I.Kom",Tebingtinggi,COD,794724,Delivered,Received,12,2026-07-24
ORD-17896,Widya Megantara,"Lala Andriani, M.M.",Kupang,COD,144010,Delivered,Received,35,2026-07-11
ORD-39912,Kala Mulyani,Opung Kusumo,Kotamobagu,COD,556618,Failed,Rejected/Unreachable,47,2026-07-09
ORD-47192,Vicky Laksmiwati,Opung Hutasoit,Kota Administrasi Jakarta Timur,COD,1267791,Delivered,Received,7,2026-06-30
ORD-74221,Mala Agustina,"Kiandra Suartini, M.Farm",Palembang,COD,371286,Delivered,Received,45,2026-07-13
ORD-11228,Asirwada Prayoga,Daliono Maulana,Padang Sidempuan,COD,879980,Delivered,Received,49,2026-07-08
ORD-76010,Suci Samosir,Embuh Nuraini,Tebingtinggi,COD,542935,Delivered,Received,35,2026-07-10
ORD-17235,Ganda Simanjuntak,"Rahmi Widiastuti, M.TI.",Tangerang,COD,265391,Delivered,Received,38,2026-07-26
ORD-99863,"Hj. Dewi Mangunsong, S.Kom",Galih Hutagalung,Tasikmalaya,COD,1314710,Delivered,Received,43,2026-07-14
ORD-75945,"Balidin Latupono, M.Pd",Purwadi Wijayanti,Bontang,COD,936190,Delivered,Received,21,2026-07-14
ORD-31347,Gilang Hardiansyah,"Fitria Uyainah, M.M.",Palu,COD,1297216,Delivered,Received,26,2026-07-08
ORD-62860,"H. Radika Irawan, S.Farm",Emong Mayasari,Bukittinggi,COD,966954,Delivered,Received,11,2026-07-21
ORD-63537,"Drs. Galur Suryono, S.Pt",Dr. Wani Farida,Serang,COD,142505,Delivered,Received,23,2026-07-15
ORD-29487,R.M. Candrakanta Pratiwi,"dr. Raina Hutasoit, M.M.",Bengkulu,COD,995731,Delivered,Received,29,2026-06-30
ORD-50785,Gara Usamah,"Puti Zaenab Sitompul, M.TI.",Depok,COD,1425399,Delivered,Received,18,2026-06-29
ORD-10879,Martaka Halim,Nurul Maheswara,Dumai,COD,759634,Delivered,Received,8,2026-07-24
ORD-76942,Saiful Prakasa,"drg. Raisa Hidayat, S.Pt",Pekanbaru,COD,732151,Failed,Rejected/Unreachable,16,2026-06-29
ORD-42891,"Talia Suryatmi, S.Gz",Gawati Sitorus,Tomohon,COD,857996,Delivered,Received,24,2026-07-09
ORD-43785,Vega Sirait,Cinthia Tampubolon,Padang,COD,1294614,Delivered,Received,13,2026-07-11
ORD-16980,"Mursinin Rajasa, M.Pd",Wakiman Usamah,Semarang,COD,1360827,Delivered,Received,23,2026-07-05
ORD-42053,"Tgk. Narji Simbolon, S.Sos",Yance Tampubolon,Kota Administrasi Jakarta Timur,COD,1475373,Delivered,Received,48,2026-07-25
ORD-16527,"Yessi Namaga, M.Pd",drg. Kawaya Hastuti,Sungai Penuh,COD,1175823,Delivered,Received,30,2026-07-16
ORD-90935,Kasim Wahyudin,"Mala Mayasari, S.H.",Subulussalam,COD,114291,Delivered,Received,21,2026-07-24
ORD-43820,"Alambana Pranowo, S.Gz",Johan Wacana,Kotamobagu,COD,110729,Delivered,Received,39,2026-07-02
ORD-96372,Cornelia Hasanah,Unjani Anggriawan,Tarakan,COD,934483,Failed,Rejected/Unreachable,83,2026-07-06
ORD-87185,Kawaca Wulandari,Dt. Gara Kurniawan,Padangpanjang,COD,1100777,Delivered,Received,18,2026-07-07
ORD-36117,"dr. Yuliana Setiawan, S.H.",Kamidin Siregar,Pangkalpinang,COD,1138761,Failed,Rejected/Unreachable,71,2026-07-22
ORD-50223,Martaka Rahayu,Winda Dongoran,Tual,COD,962678,Delivered,Received,6,2026-06-30
ORD-73924,"Talia Utami, S.Ked",Jati Iswahyudi,Manado,COD,1294724,Failed,Rejected/Unreachable,45,2026-06-28
ORD-45263,Lidya Saragih,Melinda Siregar,Kendari,COD,1218147,Delivered,Received,9,2026-06-30
ORD-49584,Ir. Yuni Hasanah,Wulan Hutagalung,Sawahlunto,COD,1107132,Delivered,Received,29,2026-07-26
ORD-17605,"Uchita Wibowo, S.I.Kom",Farhunnisa Laksmiwati,Yogyakarta,COD,1408944,Failed,Rejected/Unreachable,67,2026-07-03
ORD-85115,Cawisono Suryatmi,Yuliana Kuswoyo,Sukabumi,COD,311937,Delivered,Received,12,2026-07-13
ORD-27317,"Drs. Darimin Firmansyah, M.Ak","drg. Jamal Farida, S.Farm",Batam,COD,128205,Delivered,Received,5,2026-06-30
ORD-44694,Michelle Anggraini,Gandi Rahayu,Tomohon,COD,1317062,Delivered,Received,29,2026-07-04
ORD-65997,"KH. Manah Salahudin, S.Farm",Daniswara Laksmiwati,Sabang,COD,1243853,Delivered,Received,48,2026-07-09
ORD-69724,Dr. Talia Kusumo,R.M. Pangeran Safitri,Samarinda,COD,598008,Delivered,Received,17,2026-07-21
ORD-51026,R.M. Soleh Maulana,Dt. Bakianto Oktaviani,Bandung,COD,1184347,Delivered,Received,27,2026-06-30
ORD-21125,Dinda Prayoga,"Tgk. Gara Usada, M.TI.",Tangerang Selatan,COD,356791,Delivered,Received,43,2026-07-18
ORD-48862,"Dr. Shakila Simanjuntak, S.Pt",dr. Daruna Usada,Ambon,COD,126950,Delivered,Received,14,2026-07-21
ORD-80342,"Mulya Laksita, S.E.I","Dr. Hasim Kurniawan, M.Ak",Jambi,COD,994283,Delivered,Received,25,2026-07-22
ORD-60014,Sabar Mulyani,"R. Citra Halim, S.IP",Banjar,COD,1430922,Delivered,Received,31,2026-07-03
ORD-91351,Tgk. Lamar Najmudin,Karsana Hidayat,Banjarbaru,COD,228293,Delivered,Received,19,2026-07-17
ORD-63673,Drs. Naradi Wastuti,Mujur Maulana,Sukabumi,COD,1460778,Delivered,Received,9,2026-07-08
ORD-12845,"Mala Tarihoran, M.Ak",Hadi Dabukke,Surakarta,COD,173561,Delivered,Received,27,2026-07-04
ORD-24524,Zelda Purwanti,"Kezia Nuraini, S.Farm",Banjarbaru,COD,1189192,Delivered,Received,43,2026-07-18
ORD-71229,Yani Sinaga,Ida Tampubolon,Padangpanjang,COD,607837,Delivered,Received,50,2026-07-10
ORD-38117,Eka Hidayanto,Eko Lestari,Tidore Kepulauan,COD,1459808,Delivered,Received,30,2026-06-28
ORD-89506,Latika Putra,Bakidin Wibowo,Kupang,COD,427226,Delivered,Received,28,2026-07-05
ORD-91845,Ganep Prastuti,"Jamalia Puspasari, S.I.Kom",Palopo,COD,598996,Delivered,Received,39,2026-07-19
ORD-93834,Kawaca Adriansyah,"Wirda Wacana, S.H.",Bogor,COD,270925,Failed,Rejected/Unreachable,98,2026-07-24
ORD-60355,Bakidin Kusumo,Laras Ramadan,Depok,COD,471342,Delivered,Received,27,2026-07-03
ORD-61217,Hj. Melinda Lazuardi,"Mursita Lazuardi, M.Kom.",Bitung,COD,1490509,Delivered,Received,48,2026-07-23
ORD-50589,H. Uda Purwanti,"Catur Wasita, S.I.Kom",Mataram,COD,189698,Delivered,Received,47,2026-07-12
ORD-79199,Kezia Putra,Hj. Intan Salahudin,Madiun,COD,1025673,Delivered,Received,48,2026-07-27
ORD-23943,dr. Dodo Najmudin,Hana Pudjiastuti,Banjarmasin,COD,454204,Delivered,Received,46,2026-07-25
ORD-42816,H. Galiono Manullang,Jasmani Puspasari,Sukabumi,COD,192435,Delivered,Received,26,2026-07-14
ORD-16118,"Oman Winarsih, M.Kom.",Sabrina Anggriawan,Kediri,COD,751588,Delivered,Received,36,2026-07-22
